Lat,Lon,Hike
46.08625,-121.49153,A.G. Aiken Lava Bed Loop Hike
44.93127,-122.568,Abiqua Falls Hike
46.2874,-121.5522,Adams Glacier Meadows Hike
45.59232,-122.0584,Ainsworth Loop Hike
45.64875,-121.97627,Aldrich Butte Hike
45.65488,-121.96279,Aldrich Butte-Cedar Falls Loop Hike
45.56081,-122.17184,Angel's Rest Hike
45.56081,-122.17184,Angel's Rest-Devil's Rest Loop Hike
46.165341,-122.092216,Ape Canyon Hike
46.108408,-122.211442,Ape Cave Hike
45.80317,-123.95806,Arch Cape to Short Sand Beach Hike
45.52676,-122.73013,Audubon Sanctuaries Loop Hike
45.69927,-121.70542,Augspurger Mountain Hike
45.61162,-122.79745,BPA Road-Newton Road Loop Hike
44.6168,-122.03198,Bachelor Mountain Hike
45.51997,-121.562,Bald Butte Hike
45.42692,-121.79645,Bald Mountain from Lolo Pass Hike
45.4074,-121.7856,Bald Mountain from Top Spur Hike
45.69931,-121.29345,Balfour-Klickitat Loop Hike
45.28192,-121.68453,Barlow Butte Hike
45.96601,-121.84495,Basin Lakes Loop Hike
44.823,-122.1314,Battle Ax Creek Loop Hike
44.823,-122.1314,Battle Ax Loop Hike
44.893,-122.00741,Battle Creek Shelter Hike
45.80335,-122.49279,Battle Ground Lake Loop Hike
45.51958,-123.94758,Bayocean Spit Loop Hike
45.62844,-122.02206,Beacon Rock Hike
45.63621,-121.74248,Bear Lake Hike
45.58849,-122.07849,Bell Creek Loop Hike
45.83166,-122.38903,Bells Mountain Hike
45.6817,-121.84543,Benson Plateau Loop Hike
46.09276,-121.90644,Big Creek Falls Hike
44.64589,-124.04569,Big Creek-Forest Park Hike
45.79759,-121.74112,Big Huckleberry Mountain Hike
44.94545,-122.04845,Big Slide Lake Hike
42.09961,-123.41011,Big Tree Loop Hike
46.140489,-121.440039,Bird Creek Meadows Loop Hike
46.31401,-124.04256,Black Lake Loop Hike
46.16694,-122.26184,Blue Horse Loop Hike
46.00555,-121.83761,Blue Lake Hike
45.41756,-121.57002,Bluegrass Ridge-Cold Spring Creek Loop Hike
45.26706,-121.58939,Bonney Butte Hike
45.26527,-121.583,Bonney Butte via Bonney Meadows Trail Hike
45.26527,-121.583,Bonney Meadows to Boulder Lakes Hike
45.25833,-121.55916,Boulder Lakes Hike
45.3559,-121.9864,Boulder Ridge to Huckleberry Mountain Hike
44.78361,-121.82917,Breitenbush Cascades Hike
45.55362,-122.18265,Bridal Veil Falls Hike
45.55362,-122.18265,Bridal Veil Loop Hike
45.49672,-121.81979,Buck Peak Hike
45.63653,-121.91947,Buck Point Hike
44.91881,-122.10224,Bull of the Woods Lookout Hike
44.89991,-122.11636,Bull of the Woods via Pansy Lake Loop Hike
45.67338,-122.69025,Burnt Bridge Creek Hike
45.0045,-121.9374,Burnt Granite-Tarzan Springs Hike
44.92088,-122.51123,Butte Creek Falls Loop Hike
45.1201,-122.0638,Cache Meadows via Cripple Creek Loop Hike
45.4074,-121.7856,Cairn Basin from Top Spur Hike
45.442,-121.7255,Cairn Basin from Vista Ridge Hike
45.437125,-121.757221,Cairn Basin via Mazama Trail Hike
45.16652,-123.95305,Cannery Hill Hike
45.89748,-123.96002,Cannon Beach Hike
44.49179101,-121.7944765,Canyon Creek Meadow Hike
46.28259,-124.05878,Cape Disappointment Hike
45.76405,-123.95435,Cape Falcon Hike
44.77073,-124.07278,Cape Foulweather Hike
45.58852,-122.17874,Cape Horn Loop Hike
45.20239,-123.96697,Cape Kiwanda Hike
45.34132,-123.97445,Cape Lookout Hike
45.35999,-123.97003,Cape Lookout North Hike
45.34132,-123.97445,Cape Lookout South Hike
45.48862,-123.96531,Cape Meares Hike
45.04225,-123.99187,Cascade Head Hike
45.6622,-121.89599,Cascade Locks West Loop Hike
45.3559,-121.9864,Cascade Streamwatch Loop Hike
45.6817,-121.84543,Casey Creek Loop Hike
45.38202,-121.85906,Cast Creek Hike
45.3452,-121.9298,Castle Canyon Hike
45.21839,-121.6323,Catalpa Lake Hike
45.24462,-121.61104,Catalpa Lake via Bonney Meadows Trail Hike
45.71043,-121.36172,Catherine Creek Arch Loop Hike
45.71043,-121.36172,Catherine Creek Universal Access Hike
45.71043,-121.36172,Catherine Creek West Loop Hike
45.71043,-121.36172,Catherine Creek to Coyote Wall Hike
44.8598,-122.2646,Cedar Flats Hike
46.04876,-121.80935,Chenamus Lake Hike
45.70312,-121.61859,Chetwoot Loop Hike
45.57737,-121.79263,Chinidere Mountain Hike
46.14307,-122.32381,Cinnamon Ridge Loop Hike
45.1578,-122.1511,Clackamas River Trail Hike
45.93017,-123.97749,Clatsop Loop Hike
46.226373,-123.99053,Clatsop Spit Loop Hike
46.28433,-124.05436,Coastal Forest Loop Hike
44.6084441,-122.0497065,Coffin Mountain Hike
46.285809,-122.253799,Coldwater Peak from South Coldwater Hike
45.57617,-122.35556,Columbia River Dike Hike
45.59969,-122.54708,Columbia Springs Hike
46.2324,-123.39961,Columbian White-tailed Deer Refuge Loop Hike
44.39911,-122.13544,Cone Peak Hike
44.60116,-124.06495,Cooper Ridge-South Beach Loop Hike
45.4024,-121.6546,Cooper Spur Hike
45.57758,-122.117,Cougar Rock via Elevator Shaft Hike
45.50302,-122.69175,Council Crest Hike
45.7005,-121.4024,Coyote Wall Hike
44.603,-122.446,Crabtree Valley Hike
45.25833,-121.55916,Crane Prairie-Boulder Lakes Loop Hike
44.42915,-122.02995,Crescent Mountain Hike
45.48013,-122.63543,Crystal Springs-Reed Canyon Hike
46.04756,-121.75645,Cultus Lake from Cultus Creek Campground Hike
46.05989,-121.97082,Curly Creek Falls Hike
45.68808,-122.68997,Defiance-Starvation Loop Hike
45.6304,-120.9077,Deschutes River Hike
45.3867,-120.8732,Deschutes River from Macks Canyon Hike
45.25555,-121.86201,Devil's Peak Hike
45.29724,-121.88349,Devil's Peak from Cool Creek Hike
45.3423,-121.9405,Devil's Peak from Hunchback Mountain Hike
44.74686,-124.0653,Devil's Punchbowl Hike
45.57528,-122.12801,Devil's Rest via Wahkeena Hike
46.30634,-124.0392,Discovery Trail Traverse Hike
43.57579,-122.192388,Divide Lake Hike
45.69927,-121.70542,Dog Mountain Hike
45.69927,-121.70542,Dog Mountain Loop Hike
45.4103,-121.5703,Dog River Trail Hike
47.7392,-123.0725,Dosewallips River Hike
45.30108,-122.06511,Douglas Trail to Wildcat Mountain Hike
45.6622,-121.89599,Dry Creek Falls Hike
45.15857,-122.11591,Dry Ridge Hike
45.63364,-121.95004,Dublin Lake Hike
45.30149,-122.14664,Eagle Creek (Salmon-Huckleberry) Hike
45.63653,-121.91947,Eagle Creek to High Bridge Hike
45.63653,-121.91947,Eagle Creek to Punchbowl Falls Hike
45.63653,-121.91947,Eagle Creek to Tunnel Falls Hike
45.63653,-121.91947,Eagle Creek to Wahtum Lake Hike
45.63653,-121.91947,Eagle-Benson Loop Hike
45.26704,-117.212834,East Fork Wallowa River Hike
